Code,buying value,average value,selling value,date
SGD,934.592102,943.937079,953.282056,12/18/2023
SSP,1.160804,1.172411,1.184018,12/18/2023
SZL,68.064806,68.745385,69.425965,12/18/2023
TRY,42.932314,43.361594,43.790873,12/18/2023
TZS,0.496687,0.501653,0.50662,12/18/2023
UGX,0.330502,0.333807,0.337112,12/18/2023
USD,"1,244.83","1,257.28","1,269.72",12/18/2023
XAF,2.068907,2.089594,2.110281,12/18/2023
XDR,"1,669.06","1,685.74","1,702.43",12/18/2023
XOF,2.086335,2.107196,2.128057,12/18/2023
ZAR,68.054225,68.734698,69.415172,12/18/2023
ZMW,50.09382,50.594708,51.095595,12/18/2023
ZWD,3.280749,3.313553,3.346357,12/18/2023
AED,338.725527,342.11244,345.499353,12/15/2023
AOA,1.471638,1.486353,1.501068,12/15/2023
AUD,833.347646,841.680281,850.012916,12/15/2023
BIF,0.43664,0.441006,0.445372,12/15/2023
CAD,928.800099,938.087162,947.374225,12/15/2023
CHF,"1,434.38","1,448.72","1,463.07",12/15/2023
CNH,174.886071,176.634755,178.383439,12/15/2023
CNY,174.984346,176.734013,178.483679,12/15/2023
DKK,183.266819,185.099302,186.931785,12/15/2023
EGP,40.2256,40.627815,41.030031,12/15/2023
ETB,22.119353,22.340524,22.561695,12/15/2023
EUR,"1,366.40","1,380.06","1,393.72",12/15/2023
GBP,"1,587.02","1,602.89","1,618.76",12/15/2023
GHS,103.408379,104.442358,105.476338,12/15/2023
GNF,0.144925,0.146374,0.147823,12/15/2023
HKD,159.370429,160.963972,162.557516,12/15/2023
ILS,338.749785,342.136941,345.524096,12/15/2023
INR,14.945895,15.095339,15.244783,12/15/2023
JPY,8.76203,8.849642,8.937253,12/15/2023
KES,8.114535,8.195672,8.276809,12/15/2023
KMF,2.769118,2.796806,2.824494,12/15/2023
KRW,0.959737,0.969333,0.97893,12/15/2023
KWD,"4,046.94","4,087.40","4,127.87",12/15/2023
LSL,67.801707,68.479655,69.157604,12/15/2023
LYD,259.109043,261.699872,264.2907,12/15/2023
MAD,123.16913,124.400697,125.632264,12/15/2023
MRO,3.480057,3.514854,3.549651,12/15/2023
MUR,28.253458,28.535964,28.81847,12/15/2023
MWK,0.738929,0.746317,0.753706,12/15/2023
MZN,19.474012,19.668733,19.863453,12/15/2023
NGN,1.573023,1.588752,1.60448,12/15/2023
NOK,118.338103,119.521364,120.704626,12/15/2023
PLN,316.170778,319.332167,322.493555,12/15/2023
QAR,341.324218,344.737116,348.150013,12/15/2023
